,normal_mean,normal_std,normal_median,sample_mean,sample_std,sample_median,z_vs_normal
총사용량,5.87863302230835,6.43927526473999,3.2700002193450928,6.449199676513672,8.054201126098633,2.8650002479553223,0.08860727810932634
cv,0.5000499486923218,0.32161203026771545,0.4123538136482239,1.1475147008895874,0.7844868302345276,0.9599329233169556,2.0131857370456716
hourly_std,0.0783185139298439,0.06991251558065414,0.05610010772943497,0.1546030193567276,0.1569356769323349,0.06452038884162903,1.0911423340056838
baseload,0.12461939454078674,0.18600788712501526,0.05999999865889549,0.06680000573396683,0.16583049297332764,0.0,-0.31084374808235793
night_ratio,0.3598085343837738,0.07379178702831268,0.3694266974925995,0.3134022355079651,0.09169401228427887,0.3333333134651184,-0.6288816241569457
day_ratio,0.3655646741390228,0.07936215400695801,0.3677631616592407,0.41196098923683167,0.10681693255901337,0.4000000059604645,0.5846151188605728
peak_hour,10.891014157546392,7.850368188912488,8.0,8.96,7.0853686551648,8.0,-0.24597752756025762
ma7_ratio,0.9888325967947844,0.19885234841605734,0.9874055373260913,1.0046409460048844,0.12766250457198822,1.0,0.07949792565197318
context_zscore,0.22492484748363495,1.4166975021362305,0.0,2.2964107990264893,3.54728627204895,0.6913161277770996,1.4621935511421964
if_score,-0.1455467790365219,0.04138152301311493,-0.16106972098350525,-0.07866822928190231,0.07346386462450027,-0.05830495059490204,1.6161451992335798
ae_score,0.00037111868732608855,0.0004926792462356389,0.0001459784689359367,0.0019051267299801111,0.0020275856368243694,0.0010351386154070497,3.1136039408494516
mp_score,0.5444032549858093,0.2752775549888611,0.5353923439979553,0.6143592596054077,0.527352511882782,0.6398358345031738,0.25412898128374145
gmm_log_likelihood,74.0555191040039,17.05597496032715,73.68955993652344,59.70174789428711,20.180221557617188,53.16642379760742,-0.8415684968525234
